"angle","classname","color","dx","dy","formula","length","location","location2","name","open","parent","positionx","positiony","reason","selected","status","terms","value"
"88.47127612695805","com.chriseliot.geo.GeoLine","-14336","637.0","17.0","","637.2268042071049","","","l001","true","","","","known endpoints","false","derived","",""
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l001$A","true","l001","94.0","880.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l001$A","","l001$A$x","false","l001$A","","","given","false","known","","94.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l001$A","","l001$A$y","false","l001$A","","","given","false","known","","880.0"
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l001$B","true","l001","731.0","897.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l001$B","","l001$B$x","false","l001$B","","","given","false","known","","731.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l001$B","","l001$B$y","false","l001$B","","","given","false","known","","897.0"
"","com.chriseliot.geo.TransposePoint","-16776961","","","","","","","l001$M","true","l001","412.5","888.5","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s + (%s / 2)","","l001$M","","l001$M$x","false","l001$M","","","midpoint = Ax + (dx / 2)","false","derived","l001$M$x+l001$A$x+l001$dx","412.5"
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s + (%s / 2)","","l001$M","","l001$M$y","false","l001$M","","","midpoint = Ay + (dy / 2)","false","derived","l001$M$y+l001$A$y+l001$dy","888.5"
"","com.chriseliot.geo.LineAngleVariable","-14336","","","%s == arctan(%s, %s) / Degree","","l001$M","","l001$angle","false","l001$M","","","angle = atan2 (dx, dy) / Degree","false","derived","l001$angle+l001$dx+l001$dy","88.47127612695805"
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s - %s","","l001$M","","l001$dx","false","l001$M","","","dx from endpoints","false","derived","l001$dx+l001$B$x+l001$A$x","637.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s - %s","","l001$M","","l001$dy","false","l001$M","","","dy from endpoints","false","derived","l001$dy+l001$B$y+l001$A$y","17.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == sqrt(%s^2 + %s^2)","","l001$M","","l001$length","false","l001$M","","","length = sqrt(dx^2 + dy^2)","false","derived","l001$length+l001$dx+l001$dy","637.2268042071049"
"156.38081180854095","com.chriseliot.geo.GeoLine","-14336","258.0","-590.0","","643.9440969525227","","","l002","true","","","","","true","unknown","",""
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l002$A","true","l002","94.0","880.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s","","l002$A","","l002$A$x","false","l002$A","","","equivalent pont x","false","derived","l002$A$x+l001$A$x","94.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s","","l002$A","","l002$A$y","false","l002$A","","","equivalent pont y","false","derived","l002$A$y+l001$A$y","880.0"
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l002$B","true","l002","352.0","290.0","","false","unknown","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l002$B","","l002$B$x","false","l002$B","","","","false","unknown","","352.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l002$B","","l002$B$y","false","l002$B","","","","false","unknown","","290.0"
"","com.chriseliot.geo.TransposePoint","-16776961","","","","","","","l002$M","true","l002","223.0","585.0","","false","unknown","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","l002$M","","l002$M$x","false","l002$M","","","","false","unknown","","223.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","l002$M","","l002$M$y","false","l002$M","","","","false","unknown","","585.0"
"","com.chriseliot.geo.LineAngleVariable","-14336","","","","","l002$M","","l002$angle","false","l002$M","","","","false","unknown","","156.38081180854095"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l002$M","","l002$dx","false","l002$M","","","","false","unknown","","258.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l002$M","","l002$dy","false","l002$M","","","","false","unknown","","-590.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l002$M","","l002$length","false","l002$M","","","","false","unknown","","643.9440969525227"
"-67.90953568158291","com.chriseliot.geo.GeoVertex","-16776961","","","","","","","v001","true","","880.0","","","false","unknown","",""
"","com.chriseliot.geo.NamedPoint","-16776961","","","","","","","v001$p","true","v001","94.0","880.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s","","v001$p","","v001$p$x","false","v001$p","","","equivalent pont x","false","derived","v001$p$x+l001$A$x","94.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s","","v001$p","","v001$p$y","false","v001$p","","","equivalent pont y","false","derived","v001$p$y+l001$A$y","880.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","v001$p","","v001$v","false","v001$p","","","","false","unknown","","-67.90953568158291"
"31.979922190867537","com.chriseliot.geo.GeoLine","-14336","379.0","607.0","","715.6046394483479","","","l003","true","","","","","true","unknown","",""
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l003$A","true","l003","352.0","290.0","","false","unknown","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l003$A","","l003$A$x","false","l003$A","","","","false","unknown","","352.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l003$A","","l003$A$y","false","l003$A","","","","false","unknown","","290.0"
"","com.chriseliot.geo.NamedPoint","-14336","","","","","","","l003$B","true","l003","731.0","897.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s","","l003$B","","l003$B$x","false","l003$B","","","equivalent pont x","false","derived","l003$B$x+l001$B$x","731.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","%s == %s","","l003$B","","l003$B$y","false","l003$B","","","equivalent pont y","false","derived","l003$B$y+l001$B$y","897.0"
"","com.chriseliot.geo.TransposePoint","-16776961","","","","","","","l003$M","true","l003","541.5","593.5","","false","unknown","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","l003$M","","l003$M$x","false","l003$M","","","","false","unknown","","541.5"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","l003$M","","l003$M$y","false","l003$M","","","","false","unknown","","593.5"
"","com.chriseliot.geo.LineAngleVariable","-14336","","","","","l003$M","","l003$angle","false","l003$M","","","","false","unknown","","31.979922190867537"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l003$M","","l003$dx","false","l003$M","","","","false","unknown","","379.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l003$M","","l003$dy","false","l003$M","","","","false","unknown","","607.0"
"","com.chriseliot.geo.NamedVariable","-14336","","","","","l003$M","","l003$length","false","l003$M","","","","false","unknown","","715.6046394483479"
"56.49135393609052","com.chriseliot.geo.GeoVertex","-16776961","","","","","","","v002","true","","897.0","","","false","unknown","",""
"","com.chriseliot.geo.NamedPoint","-16776961","","","","","","","v002$p","true","v002","731.0","897.0","definition of point","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s","","v002$p","","v002$p$x","false","v002$p","","","equivalent pont x","false","derived","v002$p$x+l001$B$x","731.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","%s == %s","","v002$p","","v002$p$y","false","v002$p","","","equivalent pont y","false","derived","v002$p$y+l001$B$y","897.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","v002$p","","v002$v","false","v002$p","","","","false","unknown","","56.49135393609052"
"124.40088961767341","com.chriseliot.geo.GeoVertex","-16776961","","","","","","","v003","true","","290.0","","","true","unknown","",""
"","com.chriseliot.geo.NamedPoint","-16776961","","","","","","","v003$p","true","v003","352.0","290.0","","false","unknown","",""
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","v003$p","","v003$p$x","false","v003$p","","","","false","unknown","","352.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","v003$p","","v003$p$y","false","v003$p","","","","false","unknown","","290.0"
"","com.chriseliot.geo.NamedVariable","-16776961","","","","","v003$p","","v003$v","false","v003$p","","","","false","unknown","","124.40088961767341"
"","com.chriseliot.geo.GeoTriangle","-65536","","","","","","","t001","true","","","","triangle vertices","false","derived","",""
"","com.chriseliot.geo.NamedVariable","-65536","","","%s == Block({angleA=%s, sideB=%s, angleB=%s}, Return((sideB * Sin (angleA * Degree)) / Sin(angleB * Degree)))","","v003$p","v001$p","t001$l1","false","t001","","","law of size","false","derived","t001$l1+t001$angle1+t001$l2+t001$angle2","548.4569262941257"
"","com.chriseliot.geo.NamedVariable","-65536","","","%s == sqrt((%s - %s) ^ 2 + (%s - %s) ^ 2)","","v001$p","v002$p","t001$l2","false","t001","","","triangle vertices","false","derived","t001$l2+v002$p$x+v001$p$x+v002$p$y+v001$p$y","596.1207931283726"
